id,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,SEMAFORO,NUM_SEMAFORO,GROUP
3256,2.065,15.6,10,200,200,75.4,Verde,3,2
3257,7.02,20.585,20,35.75,35.75,88.65,Verde,3,2
3258,2,20.54,20,4600,750,102.3,Amarillo,1,2
3259,2,15.96,18,24000,4600,109.75,Amarillo,1,0
3260,2,10,10,11199,170.5,104.3,Amarillo,1,0
3261,2,10,16,906,110,80.9,Verde,3,2
3262,2,10,18.5,830,131,82.3,Verde,3,2
3263,2,10,17.5,1112,187,80.9,Amarillo,1,2
3264,2,12.6,10,1396,187,100.35,Amarillo,1,2
3265,2,10.95,14,988,110,86.45,Verde,3,2
3266,2,10,12,1500,104,83,Amarillo,1,2
3267,2,10,21,1956,136,72.3,Amarillo,1,2
3268,2.75,21.54,20,1311.5,31,73.85,Amarillo,1,2
3269,5.9,54.32,104,4300,14,45.85,Rojo,2,2
3270,10.8,95.05,44,8164,110,83.5,Rojo,2,2
3271,9.085,67.515,30,24000,150,50.1,Rojo,2,0
3272,2,20.9,236.6,14136,1081,94.67,Amarillo,1,0
3273,2,17.28,84,5794,84,101.6,Amarillo,1,2
3274,2,20.35,114,11000,108,96.5,Amarillo,1,0
3275,2.7,32.96,18,1500,430,61.4,Amarillo,1,2
3276,2.265,23.985,35,15531,320,83.905,Rojo,2,0
3277,2,22.848,40.8,9804,630,96.2,Amarillo,1,0
3278,2,19.0464,23.5,9320,561,96.2,Amarillo,1,0
3279,3.24,22.08,36,1100,1100,69.86,Amarillo,1,2
3280,2.67,15.74,28,1500,1500,67.62,Amarillo,1,2
3281,3.15,23.52,28,430,430,75.12,Verde,3,2
3282,2.98,18.68,28,1100,1015,66,Amarillo,1,2
3283,3.5,20.64,33,930,750,68.9,Verde,3,2
3284,2,15.05,12,1785,121,85.68,Amarillo,1,2
3285,2,36.205,10.16665,4618,813,97.13,Rojo,2,2
3286,2,28.51,10,2909,347.5,94.725,Amarillo,1,2
3287,2,10,11,1585,108,91.91,Amarillo,1,2
3288,2,17.12,20,1539,108,96.3,Amarillo,1,2
3289,2,10,11.54,1467,134,92.8,Amarillo,1,2
3290,2,10.92,17.04,3103,369,88.1,Amarillo,1,2
3291,2,17.72,16,1866,115,85.3,Amarillo,1,2
3292,2,25.55,10,2100,150,91.2,Amarillo,1,2
3293,2,13.8,12,1918,161,91.6,Amarillo,1,2
3294,2,12.485,13,1100,70,96.4,Amarillo,1,2
3295,2,27.81,14,930,230,69.3,Verde,3,2
3296,2,21.795,16,2271.5,305.5,90.4,Amarillo,1,2
3297,4.1,45.245,68,1600,7,63.5,Rojo,2,2
3298,4.1,40.045,48,780,5.5,84.5,Rojo,2,2
3299,2.95,29,36,4600,840,59.4,Amarillo,1,2
3300,3.57,31.79,25,1500,430,63,Amarillo,1,2
3301,227,489,103.5,24000,24000,10,Rojo,2,1
3302,20.5,73,14,6800,2400,60.9,Rojo,2,2
3303,10.27,54.14,27,6.5,3,99.4,Rojo,2,2
3304,9.41,45,57.5,430,210,71.25,Rojo,2,2
3305,2,17.9424,10,2081,303,85.3,Amarillo,1,2
3306,6.78,50.87,36,24000,4106,44.185,Rojo,2,0
3307,31.11,114.74,110,24196,24196,28.95,Rojo,2,1
3308,8.295,52.93,75,24196,24196,43,Rojo,2,1
3309,15.62,100,45.45,3,3,87.5,Rojo,2,2
3310,2,10,12,2100,138,80,Amarillo,1,2
3311,2,10,14.25,3474.5,75,100.9,Amarillo,1,2
3312,2,10,31,2400,135,83.785,Amarillo,1,2
3313,2,10,90,3725,750,66.4,Amarillo,1,2
3314,2,13.785,65,4605.5,621,80.925,Amarillo,1,2
3315,2,10,43,4352,310.5,86.12,Amarillo,1,2
3316,2,24.65,10,930,230,87,Verde,3,2
3317,2,25.43,11,2400,750,86.75,Amarillo,1,2
3318,2,12.505,59,2400,73.5,101.65,Rojo,2,2
3319,2,10,10,4600,387,64.5,Amarillo,1,2
3320,2,24.025,32,7800,1800,87.4,Amarillo,1,2
3321,2.43,26.65,32,2400,1500,85.4,Amarillo,1,2
3322,88.335,198.655,71.955,24000,11000,15.4,Rojo,2,0
3323,2,30.145,308.43,11000,2250,62.4,Amarillo,1,0
3324,2,26.595,16,680,175,65.4,Verde,3,2
3325,2,26.57,35.5,590,180,65,Verde,3,2
3326,2,22.27,23.5,930,205,67.165,Verde,3,2
3327,2,14.35,20,1990.5,150,103.75,Amarillo,1,2
3328,2,17.12,26,1500,41,100.6,Amarillo,1,2
3329,2,17.205,29,930,70,97.08,Verde,3,2
3330,2.49,21.68,32,240,30,94.3,Verde,3,2
3331,2,10,10,3880,232,100.2,Amarillo,1,2
3332,5.52,27.61,36,2400,2400,68.9,Amarillo,1,2
3333,10.915,38.82,25,24000,24000,52.1,Amarillo,1,1
3334,5.6,27.13,47,11000,11000,67.5,Amarillo,1,0
3335,21.9,63.72,24,24000,24000,66.3,Rojo,2,1
3336,10.02,40.02,28,24000,24000,67.6,Rojo,2,1
3337,5,24.89,26,24000,24000,78.8,Amarillo,1,1
3338,7.44,28.45,36,24000,24000,63.915,Amarillo,1,1
3339,2.95,34.21,26,2400,75,115.1,Amarillo,1,2
3340,3.64,34.13,28.5,990,275,76.9,Verde,3,2
3341,2,10,11.75,5028,109,97.65,Amarillo,1,2
3342,2,14.42,10,5172,72,98.8,Amarillo,1,2
3343,2.67,249.744,26.67,135,311,104.4,Rojo,2,2
3344,2.8,157.28,21.88,993,546,116.4213,Rojo,2,2
3345,7.955,38.38,20,5962.5,849.5,115.6,Amarillo,1,2
3346,3.96,25.96,54.23,5028,836.5,95.5,Amarillo,1,2
3347,2,10,46.23,5172,2909,88.35,Amarillo,1,2
3348,2,16.22,12.75,2282,73,86.6,Amarillo,1,2
3349,2.585,14.39,51.415,4236.5,376,80.4,Amarillo,1,2
3350,2,21.448,42,3989.5,68,105.2,Amarillo,1,2
3351,111.665,290.14,66.855,24000,11000,10,Rojo,2,0
3352,5.225,34.865,10.67,24196,24196,66.3,Amarillo,1,1
3353,3,20.435,22,750,550,66.3,Verde,3,2
3354,5.52,36.346,58.57,2247,52,70.8,Rojo,2,2
3355,7.1,35.943,51.43,9320,410,36.1,Rojo,2,0
3356,5.8,26.75,50.5,3900,153,44.5,Amarillo,1,2
3357,13.5,50,55,24000,24000,82.515,Rojo,2,1
3358,11,47,61,17500,11000,67,Rojo,2,0
3359,4.5,17.81,55.5,24196,18596,62.5,Amarillo,1,0
3360,2,29.39,12.5,3500,1215,53.85,Amarillo,1,2
3361,2,26.275,12.5,2250,840,74.25,Amarillo,1,2
3362,41.175,133.37,44.5,24000,24000,51.15,Rojo,2,1
3363,88,272,70,24000,17500,14.415,Rojo,2,0
3364,578,936,540,24000,24000,10,Rojo,2,1
3365,3.84,21.65,15,930,930,61.7,Amarillo,1,2
3366,10,42,25,11000,4600,49.65,Rojo,2,0
3367,8.985,51.625,20.6,24196,24196,43.75,Rojo,2,1
3368,8.655,30.07,12.5,24196,24196,41.6,Amarillo,1,1
3370,6.62,18.255,29.75,8686,4996,58.05,Amarillo,1,0
3371,2,10,10,3,3,96.5,Verde,3,2
3374,3.87,10,15.625,24196,24196,41.4,Amarillo,1,1
3375,5.24,10.67,10,4275.5,2768.5,51.5,Amarillo,1,2
3376,3.18,24.61,40,980,540,49.1,Verde,3,2
3377,12.6,18.72,68,2100,930,40.6,Amarillo,1,2
3378,2,15.36,52,2100,930,38.6,Amarillo,1,2
3379,4,23.65,40,5172,132,92.2,Amarillo,1,2
3380,2,16.04,11.5,1981,85,96.5,Amarillo,1,2
3381,2,11.31,10,2613,161,94.9,Amarillo,1,2
3382,2,11.31,10,2361,109,109.8,Amarillo,1,2
3383,2,10,10,1694.5,31,101.3,Amarillo,1,2
3384,2,18.235,10,1826.5,46.5,85.8,Amarillo,1,2
3385,2,10,10,135,31,98.05,Verde,3,2
